Scenario,Protocol,Type,AccessBW,BottleneckBW,Throughput_Mbps,LossRate_Pct
congested_light,TcpBbr,udp,N/A,N/A,427.139,0
mixed_small_flow,TcpNewReno,udp,N/A,N/A,568.893,0.0562166
rdma_like_50g,TcpNewReno,udp,N/A,N/A,16723,0.00594706
oversub_4to1_10g,TcpLark,udp,N/A,N/A,717.621,0
lte_good,TcpNewReno,udp,N/A,N/A,10.7618,0.389105
oversub_2to1_50g,TcpLark,udp,N/A,N/A,8296.41,0
wan_metro,TcpLark,udp,N/A,N/A,268.325,0
symmetric_low,TcpCubic,udp,N/A,N/A,267.529,0.00199717
cross_dc_wan,TcpBbr,udp,N/A,N/A,135.329,0.0958347
lte_poor,TcpCubic,udp,N/A,N/A,2.50733,3.77914
dc_100m,TcpNewReno,udp,N/A,N/A,25.5509,0.0997587
oversub_2to1_50g,TcpBbr,udp,N/A,N/A,2492.35,0
wifi_ac,TcpBbr,udp,N/A,N/A,53.381,0.168006
congested_heavy,TcpNewReno,udp,N/A,N/A,271.06,0.00788376
dc_100g,TcpNewReno,udp,N/A,N/A,N/A,N/A
dc_500m,TcpLark,udp,N/A,N/A,129.106,0
nr_5g_edge,TcpNewReno,udp,N/A,N/A,24.3511,0.0389579
rdma_like_25g,TcpCubic,udp,N/A,N/A,8296.68,0.0169275
leaf_spine_20g,TcpNewReno,udp,N/A,N/A,6605.28,0.0120877
mixed_large_flow,TcpBbr,udp,N/A,N/A,800.697,0
congested_medium,TcpLark,udp,N/A,N/A,569.064,0
satellite_leo,TcpLark,udp,N/A,N/A,12.5439,0
mixed_large_flow,TcpCubic,udp,N/A,N/A,4083.2,0.00193377
asymmetric_high,TcpNewReno,udp,N/A,N/A,271.037,0.00788454
dc_oversub_10to1,TcpLark,udp,N/A,N/A,271.645,0
lte_good,TcpBbr,udp,N/A,N/A,13.6398,0.55113
dc_100m,TcpBbr,udp,N/A,N/A,4.61051,0
intra_rack_10g,TcpCubic,udp,N/A,N/A,3240.46,0.00012825
rdma_like_25g,TcpNewReno,udp,N/A,N/A,8296.32,0.00977481
cross_pod_10g,TcpCubic,udp,N/A,N/A,3240.26,0.000109933
mixed_large_flow,TcpLark,udp,N/A,N/A,4082.67,0
leaf_spine_50g,TcpBbr,udp,N/A,N/A,2535.42,0
