Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,nr_5g_edge,TcpSwift,100.0,14.0,3,49153/50000,99.63,0.9963,44.6926,0.4084,0.0,1.0,logs/comparison/nr_5g_edge_TcpSwift.flowmonitor
tcp_only,nr_5g_embb,TcpBbr,500.0,7.0,3,49153/50000,499.93,0.9999,17.3844,0.0053,0.023,0.8932,logs/comparison/nr_5g_embb_TcpBbr.flowmonitor
tcp_only,nr_5g_embb,TcpCubic,500.0,7.0,3,49153/50000,499.52,0.999,12.4349,0.0674,0.0024,1.0,logs/comparison/nr_5g_embb_TcpCubic.flowmonitor
tcp_only,nr_5g_embb,TcpNewReno,500.0,7.0,3,49153/50000,498.5,0.997,11.4785,0.0462,0.003,0.999,logs/comparison/nr_5g_embb_TcpNewReno.flowmonitor
tcp_only,nr_5g_embb,TcpSwift,500.0,7.0,3,49153/50000,497.66,0.9953,7.3305,0.024,0.0,1.0,logs/comparison/nr_5g_embb_TcpSwift.flowmonitor
tcp_only,oversub_2to1_25g,TcpBbr,12500.0,0.009,3,49153/5000,7003.9,0.5603,0.011,0.0001,0.0,1.0,logs/comparison/oversub_2to1_25g_TcpBbr.flowmonitor
tcp_only,oversub_2to1_25g,TcpCubic,12500.0,0.009,3,49153/5000,12547.48,1.0038,4.4506,0.0029,0.0007,1.0,logs/comparison/oversub_2to1_25g_TcpCubic.flowmonitor
tcp_only,oversub_2to1_25g,TcpNewReno,12500.0,0.009,3,49153/5000,12547.49,1.0038,3.8439,0.0029,0.0068,1.0,logs/comparison/oversub_2to1_25g_TcpNewReno.flowmonitor
tcp_only,oversub_2to1_25g,TcpSwift,12500.0,0.009,3,49153/5000,12547.5,1.0038,0.5603,0.0029,0.0,1.0,logs/comparison/oversub_2to1_25g_TcpSwift.flowmonitor
tcp_only,oversub_2to1_50g,TcpBbr,25000.0,0.009,3,49153/5000,7439.85,0.2976,0.01,0.0,0.0,1.0,logs/comparison/oversub_2to1_50g_TcpBbr.flowmonitor
tcp_only,oversub_2to1_50g,TcpCubic,25000.0,0.009,3,49153/5000,25094.83,1.0038,4.3764,0.0014,0.0048,1.0,logs/comparison/oversub_2to1_50g_TcpCubic.flowmonitor
tcp_only,oversub_2to1_50g,TcpNewReno,25000.0,0.009,3,49153/5000,25094.96,1.0038,3.7942,0.0014,0.0036,1.0,logs/comparison/oversub_2to1_50g_TcpNewReno.flowmonitor
tcp_only,oversub_2to1_50g,TcpSwift,25000.0,0.009,3,49153/5000,25094.98,1.0038,0.2756,0.0014,0.0,1.0,logs/comparison/oversub_2to1_50g_TcpSwift.flowmonitor
tcp_only,oversub_4to1_10g,TcpBbr,2500.0,0.009,3,49153/50000,1276.91,0.5108,0.0271,0.001,0.0,0.6838,logs/comparison/oversub_4to1_10g_TcpBbr.flowmonitor
tcp_only,oversub_4to1_10g,TcpCubic,2500.0,0.009,3,49153/50000,2508.97,1.0036,4.8802,0.0143,0.0004,1.0,logs/comparison/oversub_4to1_10g_TcpCubic.flowmonitor
tcp_only,oversub_4to1_10g,TcpNewReno,2500.0,0.009,3,49153/5000,2509.31,1.0037,5.0029,0.014,0.1027,0.999,logs/comparison/oversub_4to1_10g_TcpNewReno.flowmonitor
tcp_only,oversub_4to1_10g,TcpSwift,2500.0,0.009,3,49153/50000,2508.97,1.0036,2.8376,0.0143,0.0,1.0,logs/comparison/oversub_4to1_10g_TcpSwift.flowmonitor
tcp_only,oversub_4to1_40g,TcpBbr,10000.0,0.009,3,49153/5000,6990.43,0.699,0.0111,0.0004,0.0,1.0,logs/comparison/oversub_4to1_40g_TcpBbr.flowmonitor
tcp_only,oversub_4to1_40g,TcpCubic,10000.0,0.009,3,49153/5000,10038.0,1.0038,4.521,0.0036,0.0001,1.0,logs/comparison/oversub_4to1_40g_TcpCubic.flowmonitor
tcp_only,oversub_4to1_40g,TcpNewReno,10000.0,0.009,3,49153/5000,10038.0,1.0038,3.9431,0.0036,0.0085,1.0,logs/comparison/oversub_4to1_40g_TcpNewReno.flowmonitor
tcp_only,oversub_4to1_40g,TcpSwift,10000.0,0.009,3,49153/5000,10038.0,1.0038,0.7026,0.0036,0.0,1.0,logs/comparison/oversub_4to1_40g_TcpSwift.flowmonitor
tcp_only,rdma_like_25g,TcpBbr,25000.0,0.002,3,49153/50000,2.07,0.0001,0.0035,0.0,0.0,0.9999,logs/comparison/rdma_like_25g_TcpBbr.flowmonitor
tcp_only,rdma_like_25g,TcpCubic,25000.0,0.002,3,49153/5000,25095.03,1.0038,4.3866,0.0014,0.0061,1.0,logs/comparison/rdma_like_25g_TcpCubic.flowmonitor
tcp_only,rdma_like_25g,TcpNewReno,25000.0,0.002,3,49153/5000,25095.04,1.0038,3.7897,0.0014,0.0037,1.0,logs/comparison/rdma_like_25g_TcpNewReno.flowmonitor
